cadena_configuracion,accuracy_train,error_train,precision_train,recall_train,f1_score_train,accuracy_val,error_val,precision_val,recall_val,f1_score_val
S1_RegLog_var1_var2_var3_var4_var5_var6_var7_var8_var9_var10_var11_lambda=0.001_alpha=0_epochs=100_batchsize=32_scale=True,0.7557117750439367,0.24428822495606328,0.6636363636363637,0.6919431279620853,0.6774941995359629,0.7605633802816901,0.23943661971830987,0.6964285714285714,0.6964285714285714,0.6964285714285714
S1_RegLog_var1_var2_var3_var4_var5_var6_var7_var8_var9_var10_var11_lambda=0.001_alpha=0_epochs=100_batchsize=32_scale=False,0.3866432337434095,0.6133567662565905,0.3763440860215054,0.995260663507109,0.5461638491547465,0.4225352112676056,0.5774647887323944,0.4057971014492754,1.0,0.577319587628866
S1_RegLog_var1_var2_var3_var4_var5_var6_var7_var8_var9_var10_var11_lambda=0.001_alpha=0_epochs=100_batchsize=40_scale=True,0.7557117750439367,0.24428822495606328,0.6636363636363637,0.6919431279620853,0.6774941995359629,0.7605633802816901,0.23943661971830987,0.6964285714285714,0.6964285714285714,0.6964285714285714
S1_RegLog_var1_var2_var3_var4_var5_var6_var7_var8_var9_var10_var11_lambda=0.001_alpha=0_epochs=100_batchsize=40_scale=False,0.3866432337434095,0.6133567662565905,0.3763440860215054,0.995260663507109,0.5461638491547465,0.4225352112676056,0.5774647887323944,0.4057971014492754,1.0,0.577319587628866
S1_RegLog_var1_var2_var3_var4_var5_var6_var7_var8_var9_var10_var11_lambda=0.001_alpha=0_epochs=100_batchsize=50_scale=True,0.7398945518453427,0.2601054481546573,0.6245059288537549,0.7488151658767772,0.6810344827586207,0.7676056338028169,0.23239436619718312,0.6885245901639344,0.75,0.7179487179487181
S1_RegLog_var1_var2_var3_var4_var5_var6_var7_var8_var9_var10_var11_lambda=0.001_alpha=0_epochs=100_batchsize=50_scale=False,0.3866432337434095,0.6133567662565905,0.3763440860215054,0.995260663507109,0.5461638491547465,0.4225352112676056,0.5774647887323944,0.4057971014492754,1.0,0.577319587628866
S1_RegLog_var1_var2_var3_var4_var5_var6_var7_var8_var9_var10_var11_lambda=0.001_alpha=0_epochs=500_batchsize=32_scale=True,0.7557117750439367,0.24428822495606328,0.6636363636363637,0.6919431279620853,0.6774941995359629,0.7605633802816901,0.23943661971830987,0.6964285714285714,0.6964285714285714,0.6964285714285714
S1_RegLog_var1_var2_var3_var4_var5_var6_var7_var8_var9_var10_var11_lambda=0.001_alpha=0_epochs=500_batchsize=32_scale=False,0.3866432337434095,0.6133567662565905,0.3763440860215054,0.995260663507109,0.5461638491547465,0.4225352112676056,0.5774647887323944,0.4057971014492754,1.0,0.577319587628866
S1_RegLog_var1_var2_var3_var4_var5_var6_var7_var8_var9_var10_var11_lambda=0.001_alpha=0_epochs=500_batchsize=40_scale=True,0.7557117750439367,0.24428822495606328,0.6636363636363637,0.6919431279620853,0.6774941995359629,0.7605633802816901,0.23943661971830987,0.6964285714285714,0.6964285714285714,0.6964285714285714
S1_RegLog_var1_var2_var3_var4_var5_var6_var7_var8_var9_var10_var11_lambda=0.001_alpha=0_epochs=500_batchsize=40_scale=False,0.3866432337434095,0.6133567662565905,0.3763440860215054,0.995260663507109,0.5461638491547465,0.4225352112676056,0.5774647887323944,0.4057971014492754,1.0,0.577319587628866
