cadena_configuracion,accuracy_train,error_train,precision_train,recall_train,f1_score_train,accuracy_val,error_val,precision_val,recall_val,f1_score_val
S1_NNet_var1_var2_var3_var4_var5_var6_var7_var8_var9_var10_var11_hidden_layer_sizes=1_activation=identity_solver=lbfgs_alpha=0.7_max_iter=500,0.6221441124780316,0.3778558875219684,0.0,0.0,nan,0.5985915492957746,0.4014084507042254,0.0,0.0,nan
S1_NNet_var1_var2_var3_var4_var5_var6_var7_var8_var9_var10_var11_hidden_layer_sizes=1_activation=identity_solver=lbfgs_alpha=0.8_max_iter=200,0.6133567662565905,0.3866432337434095,0.09090909090909091,0.004739336492890996,0.00900900900900901,0.5774647887323944,0.4225352112676056,0.0,0.0,nan
S1_NNet_var1_var2_var3_var4_var5_var6_var7_var8_var9_var10_var11_hidden_layer_sizes=1_activation=identity_solver=lbfgs_alpha=0.8_max_iter=500,0.789103690685413,0.21089630931458703,0.7382198952879581,0.6682464454976303,0.7014925373134329,0.7887323943661971,0.21126760563380287,0.7407407407407407,0.7142857142857143,0.7272727272727273
S1_NNet_var1_var2_var3_var4_var5_var6_var7_var8_var9_var10_var11_hidden_layer_sizes=1_activation=identity_solver=lbfgs_alpha=0.9_max_iter=200,0.37961335676625657,0.6203866432337435,0.3736654804270463,0.995260663507109,0.5433376455368693,0.4084507042253521,0.5915492957746479,0.4,1.0,0.5714285714285715
S1_NNet_var1_var2_var3_var4_var5_var6_var7_var8_var9_var10_var11_hidden_layer_sizes=1_activation=identity_solver=lbfgs_alpha=0.9_max_iter=500,0.7908611599297012,0.20913884007029881,0.7421052631578947,0.6682464454976303,0.7032418952618454,0.795774647887324,0.204225352112676,0.7547169811320755,0.7142857142857143,0.7339449541284405
S1_NNet_var1_var2_var3_var4_var5_var6_var7_var8_var9_var10_var11_hidden_layer_sizes=1_activation=identity_solver=lbfgs_alpha=1_max_iter=200,0.37434094903339193,0.625659050966608,0.37122557726465366,0.990521327014218,0.5400516795865633,0.4014084507042254,0.5985915492957746,0.3971631205673759,1.0,0.5685279187817258
S1_NNet_var1_var2_var3_var4_var5_var6_var7_var8_var9_var10_var11_hidden_layer_sizes=1_activation=identity_solver=lbfgs_alpha=1_max_iter=500,0.6502636203866432,0.3497363796133568,0.6666666666666666,0.11374407582938388,0.19433198380566802,0.6126760563380281,0.38732394366197187,0.5714285714285714,0.07142857142857142,0.12698412698412698
S1_NNet_var1_var2_var3_var4_var5_var6_var7_var8_var9_var10_var11_hidden_layer_sizes=1_activation=logistic_solver=lbfgs_alpha=0_max_iter=200,0.8031634446397188,0.19683655536028122,0.8613138686131386,0.5592417061611374,0.67816091954023,0.8309859154929577,0.16901408450704225,0.9444444444444444,0.6071428571428571,0.7391304347826088
S1_NNet_var1_var2_var3_var4_var5_var6_var7_var8_var9_var10_var11_hidden_layer_sizes=1_activation=logistic_solver=lbfgs_alpha=0_max_iter=500,0.8031634446397188,0.19683655536028122,0.8613138686131386,0.5592417061611374,0.67816091954023,0.823943661971831,0.176056338028169,0.918918918918919,0.6071428571428571,0.7311827956989247
S1_NNet_var1_var2_var3_var4_var5_var6_var7_var8_var9_var10_var11_hidden_layer_sizes=1_activation=logistic_solver=lbfgs_alpha=0.0001_max_iter=200,0.8031634446397188,0.19683655536028122,0.8613138686131386,0.5592417061611374,0.67816091954023,0.823943661971831,0.176056338028169,0.918918918918919,0.6071428571428571,0.7311827956989247
