cadena_configuracion,accuracy_train,error_train,precision_train,recall_train,f1_score_train,accuracy_val,error_val,precision_val,recall_val,f1_score_val
S1_SVM_var1_var2_var3_var4_var5_var6_var7_var8_var9_var10_var11_C=0.001_kernel=linear_gamma=0.001,0.7768014059753954,0.22319859402460462,0.71,0.6729857819905213,0.6909975669099756,0.795774647887324,0.204225352112676,0.7547169811320755,0.7142857142857143,0.7339449541284405
S1_SVM_var1_var2_var3_var4_var5_var6_var7_var8_var9_var10_var11_C=0.001_kernel=linear_gamma=0.01,0.7768014059753954,0.22319859402460462,0.71,0.6729857819905213,0.6909975669099756,0.795774647887324,0.204225352112676,0.7547169811320755,0.7142857142857143,0.7339449541284405
S1_SVM_var1_var2_var3_var4_var5_var6_var7_var8_var9_var10_var11_C=0.001_kernel=linear_gamma=0.1,0.7768014059753954,0.22319859402460462,0.71,0.6729857819905213,0.6909975669099756,0.795774647887324,0.204225352112676,0.7547169811320755,0.7142857142857143,0.7339449541284405
S1_SVM_var1_var2_var3_var4_var5_var6_var7_var8_var9_var10_var11_C=0.001_kernel=linear_gamma=1,0.7768014059753954,0.22319859402460462,0.71,0.6729857819905213,0.6909975669099756,0.795774647887324,0.204225352112676,0.7547169811320755,0.7142857142857143,0.7339449541284405
S1_SVM_var1_var2_var3_var4_var5_var6_var7_var8_var9_var10_var11_C=0.001_kernel=poly_gamma=0.001,0.37082601054481545,0.6291739894551845,0.37082601054481545,1.0,0.5410256410256411,0.39436619718309857,0.6056338028169015,0.39436619718309857,1.0,0.5656565656565656
S1_SVM_var1_var2_var3_var4_var5_var6_var7_var8_var9_var10_var11_C=0.001_kernel=poly_gamma=0.01,0.37082601054481545,0.6291739894551845,0.37082601054481545,1.0,0.5410256410256411,0.39436619718309857,0.6056338028169015,0.39436619718309857,1.0,0.5656565656565656
S1_SVM_var1_var2_var3_var4_var5_var6_var7_var8_var9_var10_var11_C=0.001_kernel=poly_gamma=0.1,0.6379613356766256,0.3620386643233744,1.0,0.023696682464454975,0.046296296296296294,0.6267605633802817,0.37323943661971826,1.0,0.05357142857142857,0.10169491525423728
S1_SVM_var1_var2_var3_var4_var5_var6_var7_var8_var9_var10_var11_C=0.001_kernel=poly_gamma=1,0.820738137082601,0.17926186291739898,0.7766497461928934,0.7251184834123223,0.75,0.7887323943661971,0.21126760563380287,0.7321428571428571,0.7321428571428571,0.7321428571428571
S1_SVM_var1_var2_var3_var4_var5_var6_var7_var8_var9_var10_var11_C=0.001_kernel=rbf_gamma=0.001,0.37082601054481545,0.6291739894551845,0.37082601054481545,1.0,0.5410256410256411,0.39436619718309857,0.6056338028169015,0.39436619718309857,1.0,0.5656565656565656
S1_SVM_var1_var2_var3_var4_var5_var6_var7_var8_var9_var10_var11_C=0.001_kernel=rbf_gamma=0.01,0.37082601054481545,0.6291739894551845,0.37082601054481545,1.0,0.5410256410256411,0.39436619718309857,0.6056338028169015,0.39436619718309857,1.0,0.5656565656565656
S1_SVM_var1_var2_var3_var4_var5_var6_var7_var8_var9_var10_var11_C=0.001_kernel=rbf_gamma=0.1,0.37082601054481545,0.6291739894551845,0.37082601054481545,1.0,0.5410256410256411,0.39436619718309857,0.6056338028169015,0.39436619718309857,1.0,0.5656565656565656
S1_SVM_var1_var2_var3_var4_var5_var6_var7_var8_var9_var10_var11_C=0.001_kernel=rbf_gamma=1,0.37082601054481545,0.6291739894551845,0.37082601054481545,1.0,0.5410256410256411,0.39436619718309857,0.6056338028169015,0.39436619718309857,1.0,0.5656565656565656
S1_SVM_var1_var2_var3_var4_var5_var6_var7_var8_var9_var10_var11_C=0.001_kernel=sigmoid_gamma=0.001,0.37082601054481545,0.6291739894551845,0.37082601054481545,1.0,0.5410256410256411,0.39436619718309857,0.6056338028169015,0.39436619718309857,1.0,0.5656565656565656
S1_SVM_var1_var2_var3_var4_var5_var6_var7_var8_var9_var10_var11_C=0.001_kernel=sigmoid_gamma=0.01,0.37082601054481545,0.6291739894551845,0.37082601054481545,1.0,0.5410256410256411,0.39436619718309857,0.6056338028169015,0.39436619718309857,1.0,0.5656565656565656
S1_SVM_var1_var2_var3_var4_var5_var6_var7_var8_var9_var10_var11_C=0.001_kernel=sigmoid_gamma=0.1,0.37082601054481545,0.6291739894551845,0.37082601054481545,1.0,0.5410256410256411,0.39436619718309857,0.6056338028169015,0.39436619718309857,1.0,0.5656565656565656
S1_SVM_var1_var2_var3_var4_var5_var6_var7_var8_var9_var10_var11_C=0.001_kernel=sigmoid_gamma=1,0.37082601054481545,0.6291739894551845,0.37082601054481545,1.0,0.5410256410256411,0.39436619718309857,0.6056338028169015,0.39436619718309857,1.0,0.5656565656565656
S1_SVM_var1_var2_var3_var4_var5_var6_var7_var8_var9_var10_var11_C=0.01_kernel=linear_gamma=0.001,0.7820738137082601,0.21792618629173988,0.7253886010362695,0.6635071090047393,0.693069306930693,0.795774647887324,0.204225352112676,0.7647058823529411,0.6964285714285714,0.7289719626168223
S1_SVM_var1_var2_var3_var4_var5_var6_var7_var8_var9_var10_var11_C=0.01_kernel=linear_gamma=0.01,0.7820738137082601,0.21792618629173988,0.7253886010362695,0.6635071090047393,0.693069306930693,0.795774647887324,0.204225352112676,0.7647058823529411,0.6964285714285714,0.7289719626168223
S1_SVM_var1_var2_var3_var4_var5_var6_var7_var8_var9_var10_var11_C=0.01_kernel=linear_gamma=0.1,0.7820738137082601,0.21792618629173988,0.7253886010362695,0.6635071090047393,0.693069306930693,0.795774647887324,0.204225352112676,0.7647058823529411,0.6964285714285714,0.7289719626168223
